ID,sentimiento
60000,negativo
60001,positivo
60002,negativo
60003,negativo
60004,negativo
60005,positivo
60006,positivo
60007,negativo
60008,negativo
60009,negativo
60010,positivo
60011,positivo
60012,positivo
60013,negativo
60014,negativo
60015,negativo
60016,positivo
60017,positivo
60018,positivo
60019,positivo
60020,negativo
60021,positivo
60022,negativo
60023,positivo
60024,positivo
60025,negativo
60026,positivo
60027,negativo
60028,positivo
60029,positivo
60030,negativo
60031,positivo
60032,positivo
60033,negativo
60034,negativo
60035,positivo
60036,negativo
60037,positivo
60038,positivo
60039,positivo
60040,negativo
60041,negativo
60042,positivo
60043,positivo
60044,negativo
60045,negativo
60046,positivo
60047,positivo
60048,positivo
60049,negativo
60050,negativo
60051,negativo
60052,positivo
60053,positivo
60054,negativo
60055,negativo
60056,negativo
60057,positivo
60058,positivo
60059,positivo
60060,negativo
60061,negativo
60062,positivo
60063,negativo
60064,negativo
60065,positivo
60066,negativo
60067,positivo
60068,positivo
60069,negativo
60070,positivo
60071,negativo
60072,positivo
60073,positivo
60074,positivo
60075,positivo
60076,negativo
60077,positivo
60078,negativo
60079,positivo
60080,negativo
60081,negativo
60082,negativo
60083,negativo
60084,positivo
60085,positivo
60086,positivo
60087,positivo
60088,negativo
60089,negativo
60090,positivo
60091,negativo
60092,negativo
60093,negativo
60094,negativo
60095,negativo
60096,positivo
60097,negativo
60098,negativo
60099,negativo
60100,positivo
60101,negativo
60102,positivo
60103,positivo
60104,positivo
60105,positivo
60106,negativo
60107,positivo
60108,negativo
60109,positivo
60110,negativo
60111,positivo
60112,positivo
60113,negativo
60114,positivo
60115,positivo
60116,positivo
60117,negativo
60118,positivo
60119,negativo
60120,negativo
60121,positivo
60122,positivo
60123,negativo
60124,positivo
60125,positivo
60126,positivo
60127,positivo
60128,positivo
60129,negativo
60130,positivo
60131,negativo
60132,negativo
60133,positivo
60134,positivo
60135,negativo
60136,positivo
60137,positivo
60138,negativo
60139,positivo
60140,negativo
60141,negativo
60142,positivo
60143,positivo
60144,negativo
60145,negativo
60146,positivo
60147,positivo
60148,negativo
60149,positivo
60150,negativo
60151,positivo
60152,negativo
60153,positivo
60154,negativo
60155,positivo
60156,positivo
60157,negativo
60158,positivo
60159,positivo
60160,negativo
60161,negativo
60162,positivo
60163,positivo
60164,positivo
60165,negativo
60166,negativo
60167,positivo
60168,positivo
60169,negativo
60170,positivo
60171,positivo
60172,positivo
60173,positivo
60174,positivo
60175,positivo
60176,negativo
60177,positivo
60178,positivo
60179,positivo
60180,negativo
60181,positivo
60182,negativo
60183,negativo
60184,negativo
60185,positivo
60186,negativo
60187,negativo
60188,negativo
60189,negativo
60190,negativo
60191,positivo
60192,negativo
60193,negativo
60194,positivo
60195,negativo
60196,negativo
60197,positivo
60198,negativo
60199,positivo
60200,positivo
60201,positivo
60202,positivo
60203,negativo
60204,negativo
60205,negativo
60206,positivo
60207,negativo
60208,positivo
60209,positivo
60210,positivo
60211,positivo
60212,positivo
60213,negativo
60214,positivo
60215,negativo
60216,positivo
60217,negativo
60218,negativo
60219,positivo
60220,positivo
60221,positivo
60222,positivo
60223,positivo
60224,negativo
60225,positivo
60226,negativo
60227,negativo
60228,positivo
60229,negativo
60230,positivo
60231,positivo
60232,positivo
60233,negativo
60234,negativo
60235,positivo
60236,negativo
60237,negativo
60238,negativo
60239,positivo
60240,positivo
60241,negativo
60242,positivo
60243,positivo
60244,negativo
60245,positivo
60246,negativo
60247,positivo
60248,negativo
60249,positivo
60250,positivo
60251,negativo
60252,positivo
60253,positivo
60254,positivo
60255,positivo
60256,negativo
60257,negativo
60258,positivo
60259,negativo
60260,negativo
60261,positivo
60262,positivo
60263,positivo
60264,positivo
60265,positivo
60266,positivo
60267,positivo
60268,negativo
60269,positivo
60270,negativo
60271,negativo
60272,negativo
60273,positivo
60274,positivo
60275,negativo
60276,positivo
60277,positivo
60278,positivo
60279,negativo
60280,positivo
60281,positivo
60282,positivo
60283,negativo
60284,positivo
60285,negativo
60286,positivo
60287,positivo
60288,positivo
60289,negativo
60290,positivo
60291,positivo
60292,negativo
60293,negativo
60294,negativo
60295,negativo
60296,negativo
60297,negativo
60298,positivo
60299,positivo
60300,positivo
60301,positivo
60302,negativo
60303,positivo
60304,negativo
60305,positivo
60306,positivo
60307,positivo
60308,negativo
60309,positivo
60310,positivo
60311,negativo
60312,positivo
60313,positivo
60314,negativo
60315,positivo
60316,positivo
60317,positivo
60318,positivo
60319,positivo
60320,negativo
60321,positivo
60322,positivo
60323,positivo
60324,negativo
60325,positivo
60326,negativo
60327,positivo
60328,negativo
60329,negativo
60330,negativo
60331,negativo
60332,negativo
60333,negativo
60334,negativo
60335,positivo
60336,positivo
60337,positivo
60338,positivo
60339,negativo
60340,negativo
60341,positivo
60342,negativo
60343,positivo
60344,positivo
60345,positivo
60346,negativo
60347,positivo
60348,positivo
60349,negativo
60350,positivo
60351,negativo
60352,positivo
60353,positivo
60354,negativo
60355,positivo
60356,negativo
60357,positivo
60358,positivo
60359,negativo
60360,positivo
60361,positivo
60362,negativo
60363,negativo
60364,positivo
60365,negativo
60366,negativo
60367,negativo
60368,negativo
60369,positivo
60370,positivo
60371,positivo
60372,positivo
60373,positivo
60374,positivo
60375,positivo
60376,positivo
60377,positivo
60378,positivo
60379,positivo
60380,negativo
60381,positivo
60382,negativo
60383,negativo
60384,positivo
60385,positivo
60386,positivo
60387,negativo
60388,negativo
60389,positivo
60390,positivo
60391,positivo
60392,positivo
60393,negativo
60394,positivo
60395,negativo
60396,positivo
60397,negativo
60398,positivo
60399,negativo
60400,positivo
60401,positivo
60402,positivo
60403,positivo
60404,negativo
60405,positivo
60406,negativo
60407,negativo
60408,positivo
60409,negativo
60410,positivo
60411,negativo
60412,positivo
60413,positivo
60414,positivo
60415,negativo
60416,positivo
60417,positivo
60418,negativo
60419,negativo
60420,positivo
60421,negativo
60422,positivo
60423,positivo
60424,positivo
60425,positivo
60426,positivo
60427,positivo
60428,positivo
60429,positivo
60430,negativo
60431,negativo
60432,positivo
60433,negativo
60434,positivo
60435,positivo
60436,positivo
60437,negativo
60438,negativo
60439,positivo
60440,positivo
60441,positivo
60442,positivo
60443,positivo
60444,negativo
60445,negativo
60446,negativo
60447,negativo
60448,positivo
60449,positivo
60450,positivo
60451,negativo
60452,positivo
60453,positivo
60454,positivo
60455,negativo
60456,positivo
60457,negativo
